发动机代码,品牌体系,本轮状态,已核查适配条数,南非目录已核查条数,中国来源公开发动机或半切记录数,供货证据边界,文章地址
VQ35DE,Nissan,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/vq35de.html
VQ35HR,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
VQ37VHR,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
VK56DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
KA24DE,Nissan,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/ka24de.html
VG33E,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
CR12DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
HR12DE,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
HRA2DDT,Nissan,候选：未发布,0,0,0,未核实常备拆车机供应,
4G13,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
4G15,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
4G15S,Mitsubishi,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g15s.html
4G18,Mitsubishi,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g18.html
4G18S2,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
4G63,Mitsubishi,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g63.html
4G63S4M,Mitsubishi,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g63s4m.html
4G63S4T,Mitsubishi,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
4G64,Mitsubishi,新增文章,2,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g64.html
4G64S4M,Mitsubishi,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g64s4m.html
4G69,Mitsubishi,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g69.html
4G69S4N,Mitsubishi,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g69s4n.html
4G93,Mitsubishi,新增文章,3,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4g93.html
4G94,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
4A91,Mitsubishi,新增文章,2,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4a91.html
4A92,Mitsubishi,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/4a92.html
4B40,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
6G72,Mitsubishi,新增文章,3,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/6g72.html
6G74,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
6G75,Mitsubishi,候选：未发布,0,0,0,未核实常备拆车机供应,
G13B,Suzuki,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/g13b.html
G13BB,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
G16B,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
M13A,Suzuki,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
M15A,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
M18A,Suzuki,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/m18a.html
J20A,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
J24B,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K14B,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K14C,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K15B,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K12M,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K12B,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
K10C,Suzuki,候选：未发布,0,0,0,未核实常备拆车机供应,
F10A,Suzuki,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/f10a.html
K10A,Suzuki,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/k10a.html
F14D3,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
F16D3,GM / Chevrolet / Buick,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/f16d3.html
F16D4,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
F18D4,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
T18SED,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
LDE,GM / Chevrolet / Buick,新增文章,2,0,2,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/lde.html
2H0,GM / Chevrolet / Buick,新增文章,3,1,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/2h0.html
L2B,GM / Chevrolet / Buick,新增文章,4,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/l2b.html
LE5,GM / Chevrolet / Buick,新增文章,3,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/le5.html
LAF,GM / Chevrolet / Buick,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/laf.html
LTG,GM / Chevrolet / Buick,新增文章,4,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/ltg.html
LFV,GM / Chevrolet / Buick,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/lfv.html
LLU,GM / Chevrolet / Buick,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/llu.html
L3G,GM / Chevrolet / Buick,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/l3g.html
L95,GM / Chevrolet / Buick,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/l95.html
L91,GM / Chevrolet / Buick,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/l91.html
L34,GM / Chevrolet / Buick,新增文章,2,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/l34.html
LMU,GM / Chevrolet / Buick,新增文章,3,1,2,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/lmu.html
LCU,GM / Chevrolet / Buick,新增文章,2,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/lcu.html
B12D1,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
A14NET,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
LUJ,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
LUV,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
LDK,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
LFW,GM / Chevrolet / Buick,候选：未发布,0,0,0,未核实常备拆车机供应,
CAF384Q,Ford,候选：未发布,0,0,3,公开上架仅为线索，逐台确认,
CAF384Q0,Ford,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/caf384q0.html
CAF384WQ,Ford,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
CAF372WQ,Ford,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
CAF479Q1,Ford,新增文章,1,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/caf479q1.html
CAF488WQ,Ford,候选：未发布,0,0,2,公开上架仅为线索，逐台确认,
CAF488Q10,Ford,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
GTDIQ8,Ford,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
C6,Ford,候选：未发布,0,0,2,公开上架仅为线索，逐台确认,
SHDA,Ford,候选：未发布,0,0,0,未核实常备拆车机供应,
HXDA,Ford,候选：未发布,0,0,0,未核实常备拆车机供应,
FYJA,Ford,候选：未发布,0,0,0,未核实常备拆车机供应,
IQDB,Ford,候选：未发布,0,0,0,未核实常备拆车机供应,
JTDA,Ford,候选：未发布,0,0,0,未核实常备拆车机供应,
LF-DE,Mazda,新增文章,5,2,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/lf-de.html
LF-VE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
L3-VE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
Z6,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
ZY-VE,Mazda,新增文章,2,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/zy-ve.html
ZJ-VE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
PE-VPS,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
PY-VPS,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
L5-VE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
FP-DE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
FS-DE,Mazda,候选：未发布,0,0,0,未核实常备拆车机供应,
BSE,Volkswagen / Audi / Skoda,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/bse.html
BSF,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CFNA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CFNB,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CLSA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CAXA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CDAA,Volkswagen / Audi / Skoda,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/cdaa.html
CBZB,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CAVD,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CHPA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CZDA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CEA,Volkswagen / Audi / Skoda,新增文章,3,0,3,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/cea.html
CFB,Volkswagen / Audi / Skoda,新增文章,2,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/cfb.html
CGM,Volkswagen / Audi / Skoda,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/cgm.html
CPDA,Volkswagen / Audi / Skoda,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/cpda.html
CSSA,Volkswagen / Audi / Skoda,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/cssa.html
DCFA,Volkswagen / Audi / Skoda,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/dcfa.html
BWH,Volkswagen / Audi / Skoda,新增文章,3,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/bwh.html
BWA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CCZA,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CCZB,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
CAWB,Volkswagen / Audi / Skoda,候选：未发布,0,0,0,未核实常备拆车机供应,
TU5JP4,Peugeot / Citroen,新增文章,4,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/tu5jp4.html
NFU,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
NFP,Peugeot / Citroen,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/nfp.html
RFN,Peugeot / Citroen,新增文章,4,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/rfn.html
RFJ,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
5FS,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
5FV,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
5FX,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
6FZ,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
KFU,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
HNZ,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
HNP,Peugeot / Citroen,候选：未发布,0,0,0,未核实常备拆车机供应,
K4M,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
K7M,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
F4R,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
H4M,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
H4D,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
H5F,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
M4R,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
B4D,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
D4F,Renault / Dacia,候选：未发布,0,0,0,未核实常备拆车机供应,
JL4G18,Geely,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jl4g18.html
JL4G15D,Geely,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jl4g15d.html
JLB-4G15,Geely,候选：未发布,0,0,0,未核实常备拆车机供应,
MR479QA,Geely,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/mr479qa.html
MR479Q,Geely,候选：未发布,0,0,0,未核实常备拆车机供应,
JLD-4G20,Geely,候选：未发布,0,0,0,未核实常备拆车机供应,
JLD-4G24,Geely,候选：未发布,0,0,0,未核实常备拆车机供应,
JLC-4G18,Geely,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
JLE-4G18TD,Geely,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jle-4g18td.html
JLH-3G15TD,Geely,候选：未发布,0,0,0,未核实常备拆车机供应,
SQR372,Chery / Jetour,新增文章,2,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr372.html
SQR472,Chery / Jetour,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr472.html
SQR473F,Chery / Jetour,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr473f.html
SQR477F,Chery / Jetour,新增文章,4,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr477f.html
SQR481F,Chery / Jetour,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr481f.html
SQR481FC,Chery / Jetour,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr481fc.html
SQR484F,Chery / Jetour,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqr484f.html
SQRE4G15B,Chery / Jetour,新增文章,2,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/sqre4g15b.html
SQRE4T15B,Chery / Jetour,候选：未发布,0,0,0,未核实常备拆车机供应,
SQRD4G15,Chery / Jetour,候选：未发布,0,0,0,未核实常备拆车机供应,
SQRD4G15C,Chery / Jetour,候选：未发布,0,0,0,未核实常备拆车机供应,
JL465Q5,Changan,新增文章,3,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jl465q5.html
JL474Q,Changan,新增文章,3,1,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jl474q.html
JL475Q7,Changan,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jl475q7.html
JL478QEE,Changan,候选：未发布,0,0,0,未核实常备拆车机供应,
JL473QF,Changan,候选：未发布,0,0,0,未核实常备拆车机供应,
JL473Q4,Changan,候选：未发布,0,0,0,未核实常备拆车机供应,
JL473ZQ3,Changan,候选：未发布,0,0,0,未核实常备拆车机供应,
JL476ZQCD,Changan,候选：未发布,0,0,0,未核实常备拆车机供应,
B12,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
LAQ,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
LAR,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
LJ465Q,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
LJ469Q,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
LJ479Q,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
DAM15R,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
DK12,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
DK15,Wuling / Baojun / DFSK,候选：未发布,0,0,0,未核实常备拆车机供应,
15S4G,MG / Roewe,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
15S4S,MG / Roewe,候选：未发布,0,0,0,未核实常备拆车机供应,
15S4U,MG / Roewe,候选：未发布,0,0,0,未核实常备拆车机供应,
15E4E,MG / Roewe,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/15e4e.html
18K4G,MG / Roewe,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/18k4g.html
18L4E,MG / Roewe,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/18l4e.html
20L4E,MG / Roewe,新增文章,3,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/20l4e.html
GW491Q-E,Great Wall / Haval,候选：未发布,0,0,0,未核实常备拆车机供应,
GW4G15F,Great Wall / Haval,候选：未发布,0,0,0,未核实常备拆车机供应,
GW4B15A,Great Wall / Haval,候选：未发布,0,0,0,未核实常备拆车机供应,
GW4B15D,Great Wall / Haval,候选：未发布,0,0,0,未核实常备拆车机供应,
GW4C20B,Great Wall / Haval,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD473QB,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD483QB,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD479ZQA,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD476ZQA,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD476ZQB,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD476ZQC,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD476ZQF,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
BYD487ZQD,BYD,候选：未发布,0,0,0,未核实常备拆车机供应,
4A15M1,GAC / Trumpchi,候选：未发布,0,0,0,未核实常备拆车机供应,
4A15J1,GAC / Trumpchi,候选：未发布,0,0,0,未核实常备拆车机供应,
4B20M1,GAC / Trumpchi,候选：未发布,0,0,0,未核实常备拆车机供应,
HFC4GB2.3E,JAC / BAIC / Brilliance,候选：未发布,0,0,0,未核实常备拆车机供应,
HFC4GB2.3C,JAC / BAIC / Brilliance,候选：未发布,0,0,0,未核实常备拆车机供应,
A151,JAC / BAIC / Brilliance,候选：未发布,0,0,0,未核实常备拆车机供应,
4A91S,JAC / BAIC / Brilliance,候选：未发布,0,0,0,未核实常备拆车机供应,
BM15L,JAC / BAIC / Brilliance,候选：未发布,0,0,0,未核实常备拆车机供应,
N46B20B,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
N46B20E,BMW,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
N20B20A,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
N52B25A,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
N52B30A,BMW,新增文章,1,0,1,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/n52b30a.html
N55B30A,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
B48B20A,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
M54B30,BMW,候选：未发布,0,0,0,未核实常备拆车机供应,
M271.820,Mercedes-Benz,新增文章,2,0,3,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/m271-820.html
M271.860,Mercedes-Benz,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
M271.951,Mercedes-Benz,候选：未发布,0,0,3,公开上架仅为线索，逐台确认,
M272.967,Mercedes-Benz,新增文章,1,0,4,公开上架仅为线索，逐台确认,https://asia-power.com/guides/engines/m272-967.html
M274.920,Mercedes-Benz,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/m274-920.html
M270.910,Mercedes-Benz,候选：未发布,0,0,0,未核实常备拆车机供应,
B4204T11,Volvo,候选：未发布,0,0,0,未核实常备拆车机供应,
B4204T7,Volvo,候选：未发布,0,0,0,未核实常备拆车机供应,
B6324S,Volvo,候选：未发布,0,0,1,公开上架仅为线索，逐台确认,
EJ20,Subaru,候选：未发布,0,0,0,未核实常备拆车机供应,
EJ25,Subaru,候选：未发布,0,0,0,未核实常备拆车机供应,
FB20,Subaru,候选：未发布,0,0,0,未核实常备拆车机供应,
FB25,Subaru,候选：未发布,0,0,0,未核实常备拆车机供应,
JLB-4G13T,Geely,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jlb-4g13t.html
JLY-4G15,Geely,新增文章,2,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/jly-4g15.html
CAF488WQ3,Ford,新增文章,1,0,0,未核实常备拆车机供应,https://asia-power.com/guides/engines/caf488wq3.html
